Cena,Užitná,Podlahová,Podlaží,Energetika
6290000,32,32,1,7
6290000,32,32,1,7
8690000,103,103,1,4
7980000,77,75,4,7
11498000,102,102,1,3
11699000,92,92,5,3
14480000,79,86,5,7
4621000,35,35,4,2
6690000,49,53,1,2
6290000,32,32,1,7
5240000,46,46,2,2
17500000,98,90,2,7
6290000,32,32,1,7
5240000,46,46,2,2
8690000,103,103,1,4
7980000,77,75,4,7
11498000,102,102,1,3
11699000,92,92,5,3
5150000,37,37,2,3
15986803,85,90,2,2
7690000,51,48,1,5
4882000,23,23,5,7
13634000,73,73,4,1
6290000,32,32,1,7
4715000,42,40,4,7
6290000,32,32,1,7
8690000,103,103,1,4
11699000,92,92,5,3
7980000,77,75,4,7
5150000,37,37,2,3
15986803,85,90,2,2
7690000,51,48,1,5
4882000,23,23,5,7
13634000,73,73,4,1
5698000,61,27,1,1
4715000,42,40,4,7
6290000,32,32,1,7
5240000,46,46,2,2
8690000,103,103,1,4
7980000,77,75,4,7
5150000,37,37,2,3
15986803,85,90,2,2
7690000,51,48,1,5
4882000,23,23,5,7
6300000,47,47,1,3
5698000,61,27,1,1
4715000,42,40,4,7
5698000,61,27,1,1
6290000,32,32,1,7
5240000,46,46,2,2
6290000,32,32,1,7
